tloc,numCoveredLines
0.02072539,7.0
0.02590674,1.0
0.03626943,6.0
0.03626943,6.0
0.03626943,6.0
0.05699482,10.0
0.03108808,5.0
0.04663212,9.0
0.03626943,6.0
0.03108808,6.0
0.05181347,10.0
0.03108808,4.0
0.05181347,3.0
0.03108808,5.0
0.02590674,4.0
0.01554404,3.0
0.01554404,3.0
0.02590674,4.0
0.01554404,2.0
0.03626943,7.0
0.02072539,4.0
0.005181347,7.0
0.02072539,4.0
0.02590674,4.0
0.04663212,45.0
0.05181347,89.0
0.04663212,73.0
0.1243523,84.0
0.2124352,104.0
0.1606218,90.0
0.2487047,107.0
0.05699482,84.0
0.01554404,44.0
0.04145078,50.0
0.04145078,50.0
0.0880829,50.0
0.04663212,52.0
0.04663212,52.0
0.1398964,80.0
0.1606218,87.0
0.238342,143.0
0.1554404,132.0
0.07253886,128.0
0.1088083,112.0
0.05699482,121.0
0.04663212,99.0
0.04663212,108.0
0.09326425,104.0
0.01554404,89.0
0.06735751,120.0
0.3005181,109.0
0.04663212,91.0
0.0984456,104.0
0.04145078,98.0
0.04145078,97.0
0.1658031,123.0
0.05699482,86.0
0.1243523,99.0
0.07253886,84.0
0.07772021,78.0
0.05181347,24.0
0.3419689,110.0
0.05181347,80.0
0.07772021,88.0
0.02590674,79.0
0.06217617,113.0
0.03108808,79.0
0.03626943,71.0
0.05699482,91.0
0.07253886,118.0
0.03108808,78.0
0.03108808,73.0
0.08290155,107.0
0.07772021,120.0
0.0880829,94.0
0.07253886,94.0
0.04663212,37.0
0.04663212,1.0
0.03108808,6.0
0.03626943,0.0
0.134715,111.0
0.1554404,104.0
0.0880829,105.0
0.1606218,121.0
0.07253886,88.0
0.04145078,8.0
0.03108808,6.0
0.03626943,5.0
0.06735751,11.0
0.005181347,3.0
0.04145078,7.0
0.04145078,7.0
0.005181347,3.0
0.005181347,1.0
0.005181347,3.0
0.005181347,2.0
0.005181347,4.0
0.04663212,10.0
0.04145078,7.0
0.005181347,6.0
0.02590674,5.0
0.02590674,4.0
0.01036269,0.0
0.02590674,2.0
0.05181347,9.0
0.04663212,8.0
0.01036269,0.0
0.02590674,2.0
0.05181347,11.0
0.04145078,7.0
0.02590674,4.0
0.01036269,0.0
0.02590674,2.0
0.07253886,14.0
0.07772021,14.0
0.02590674,2.0
0.03626943,7.0
0.06217617,11.0
0.05699482,11.0
0.02590674,2.0
0.03626943,7.0
0.01554404,2.0
0.02590674,2.0
0.04145078,9.0
0.01036269,0.0
0.02590674,2.0
0.02072539,3.0
0.02072539,3.0
0.02072539,3.0
0.02072539,3.0
0.06217617,13.0
0.05181347,10.0
0.02590674,6.0
0.02072539,5.0
0.0880829,17.0
0.05699482,11.0
0.07253886,14.0
0.08290155,16.0
0.06217617,12.0
0.05181347,10.0
0.05181347,12.0
0.02072539,4.0
0.08290155,17.0
0.05181347,10.0
0.02072539,4.0
0.1139896,23.0
0.03108808,6.0
0.03108808,5.0
0.03626943,8.0
0.02590674,6.0
0.02072539,5.0
0.03108808,7.0
0.01554404,4.0
0.02590674,4.0
0.02590674,4.0
0.02590674,4.0
0.02590674,4.0
0.03626943,4.0
0.03108808,4.0
0.03108808,5.0
0.03108808,4.0
0.03108808,4.0
0.02590674,4.0
0.03108808,4.0
0.04145078,7.0
0.04145078,2.0
0.04145078,2.0
0.04663212,8.0
0.04663212,14.0
